Line,Individual Number,Chamber,Position Column,Position Row,Position Block,Treatment,Plant ID,Population,Mother,Replicate,Growth Measure Date,Growth Measure Number,Growth Measure Plant Height     cm,Growth Measure Leaf Number,Growth Measure Longest Leaf Length   cm,Leaf Measure Date,Leaf Measure Number,Leaf Sample Number,Leaf Measure Porometer mmol/m²s,Leaf Measure Spad,Leaf Measure Spad :1,Leaf Measure Spad :2,Leaf Measure Spad Mean,Leaf Measure Area     cm²,Leaf Measure Area :1  cm²,Leaf Measure Area :2  cm²,Leaf Measure Area Mean  cm²,Leaf Measure Perimeter cm,Leaf Measure Perimeter :1 cm,Leaf Measure Perimeter :2 cm,Leaf Measure Perimeter Mean       cm,Leaf Measure Length    cm,Leaf Measure Length :1  cm,Leaf Measure Length :2  cm,Leaf Measure Length Mean      cm,Leaf MeasureWidth   cm,Leaf Measure Width :1   cm,Leaf Measure Width :2   cm,Leaf Measure Width  Mean     cm,Leaf Measure Dry Weight    g,Leaf Measure Dry Weight :1   g,Leaf Measure Dry Weight :2   g,Leaf Measure Dry Weight Mean        g,Leaf Measure SLA (leaf area cm² / dry leaf weight g),Notes
2,286,35,1,A,1,Water,D.7.4,D,7,4,Apr-16,2:1,13.9,20,8,May-16,1:0,1,324.2,58.1,.,.,58.1,10.9559,.,.,10.9559,17.4347,.,.,17.4347,6.6516,.,.,6.6516,2.6165,.,.,2.6165,0.1071,.,.,0.1071,,9:30am (begin spad) 25.05.16
3,149,35,1,C,1,Water,11.1.15,11,1,15,Apr-16,2:1,27,50,8.8,May-16,1:0,1,262.9,67.9,.,.,67.9,7.5713,.,.,7.5713,17.1003,.,.,17.1003,7.6295,.,.,7.6295,1.5731,.,.,1.5731,0.1127,.,.,0.1127,,abby (fixed)
4,204,35,2,B,1,Water,T3.9.13,T3,9,13,Apr-16,2:1,32,30,11,May-16,1:0,1,320.5,58.7,.,.,58.7,21.6635,.,.,21.6635,23.7465,.,.,23.7465,9.7576,.,.,9.7576,3.7656,.,.,3.7656,0.1784,.,.,0.1784,,abby (fixed)
5,292,35,2,D,1,Water,G.9.15,G,9,15,Apr-16,2:1,11.5,10,3.9,May-16,1:0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,dead 23.05.16
6,151,35,3,A,1,Water,11.6.3,11,6,3,Apr-16,2:1,26,55,8.8,May-16,1:0,1,259.6,57,.,.,57,7.2844,.,.,7.2844,16.8871,.,.,16.8871,7.5346,.,.,7.5346,1.5599,.,.,1.5599,0.0931,.,.,0.0931,,
7,93,35,3,C,1,Water,B.3.3,B,3,3,Apr-16,2:1,42.9,45,9.5,May-16,1:0,1,293.8,51.2,.,.,51.2,14.9752,.,.,14.9752,21.8077,.,.,21.8077,9.0447,.,.,9.0447,2.8785,.,.,2.8785,0.164,.,.,0.164,,
8,47,35,4,B,1,Water,G.3.15,G,3,15,Apr-16,2:1,27.8,35,9,May-16,1:0,1,241.9,64.6,.,.,64.6,26.3157,.,.,26.3157,26.2306,.,.,26.2306,10.4461,.,.,10.4461,3.9187,.,.,3.9187,0.2763,.,.,0.2763,,
9,110,35,4,D,1,Water,T3.7.1,T3,7,1,Apr-16,2:1,34.1,85,9,May-16,1:0,1,253.4,51.1,.,.,51.1,9.6516,.,.,9.6516,17.4464,.,.,17.4464,7.3876,.,.,7.3876,2.1889,.,.,2.1889,0.0886,.,.,0.0886,,
10,92,35,5,A,1,Water,B.8.16,B,8,16,Apr-16,2:1,21.2,45,6.7,May-16,1:0,1,263,58.3,.,.,58.3,11.7237,.,.,11.7237,16.5126,.,.,16.5126,5.93,.,.,5.93,3.0672,.,.,3.0672,0.1409,.,.,0.1409,,
11,61,35,5,C,1,Water,G.10.2,G,10,2,Apr-16,2:1,31.6,20,8.1,May-16,1:0,1,299.2,63.1,.,.,63.1,10.8839,.,.,10.8839,19.3775,.,.,19.3775,8.3448,.,.,8.3448,2.2086,.,.,2.2086,0.126,.,.,0.126,,
12,39,35,6,B,1,Water,D.5.18,D,5,18,Apr-16,2:1,29.2,40,8,May-16,1:0,1,304.3,54,.,.,54,6.601,.,.,6.601,15.1195,.,.,15.1195,6.7749,.,.,6.7749,1.5321,.,.,1.5321,0.0665,.,.,0.0665,,
13,139,35,6,D,1,Water,11.7.11,11,7,11,Apr-16,2:1,45,60,11,May-16,1:0,1,355.2,61.3,.,.,61.3,19.6614,.,.,19.6614,25.4397,.,.,25.4397,10.9322,.,.,10.9322,2.9296,.,.,2.9296,0.1997,.,.,0.1997,,
14,218,35,7,A,1,Water,G.7.16,G,7,16,Apr-16,2:1,35.8,45,9,May-16,1:0,1,370.2,52.3,.,.,52.3,23.1342,.,.,23.1342,22.5004,.,.,22.5004,8.9106,.,.,8.9106,4.1001,.,.,4.1001,0.2874,.,.,0.2874,,
15,77,35,7,C,1,Water,T3.8.16,T3,8,16,Apr-16,2:1,35.6,50,10.5,May-16,1:0,1,254.7,52.4,.,.,52.4,27.0806,.,.,27.0806,25.17,.,.,25.17,10.0052,.,.,10.0052,4.2789,.,.,4.2789,0.244,.,.,0.244,,
16,90,35,8,B,1,Water,11.9.3,11,9,3,Apr-16,2:1,33.6,30,8.9,May-16,1:0,1,377.3,60,.,.,60,20.2669,.,.,20.2669,21.3625,.,.,21.3625,8.5244,.,.,8.5244,3.4806,.,.,3.4806,0.151,.,.,0.151,,
17,102,35,8,D,1,Water,B.7.3,B,7,3,Apr-16,2:1,37.3,54,8.2,May-16,1:0,1,311.9,50.7,.,.,50.7,17.1274,.,.,17.1274,19.3911,.,.,19.3911,7.4743,.,.,7.4743,3.7762,.,.,3.7762,0.1785,.,.,0.1785,,
18,153,35,9,A,1,Water,T3.3.14,T3,3,14,Apr-16,2:1,25.5,26,13.9,May-16,1:0,1,292.7,57.7,.,.,57.7,15.4177,.,.,15.4177,31.5829,.,.,31.5829,13.9047,.,.,13.9047,1.7326,.,.,1.7326,0.1774,.,.,0.1774,,
19,263,35,9,C,1,Water,D.10.17,D,10,17,Apr-16,2:1,31.2,28,8.9,May-16,1:0,1,327.7,56.2,.,.,56.2,17.048,.,.,17.048,22.4778,.,.,22.4778,9.6392,.,.,9.6392,2.9802,.,.,2.9802,0.1717,.,.,0.1717,,
20,160,35,10,B,1,Water,B.5.8,B,5,8,Apr-16,2:1,14.3,34,4.3,May-16,1:0,1,157,56.2,.,.,56.2,5.0129,.,.,5.0129,11.5746,.,.,11.5746,5.074,.,.,5.074,1.4648,.,.,1.4648,0.0604,.,.,0.0604,,"small, not much growth 23.05.16"
21,81,35,10,D,1,Water,D.6.9,D,6,9,Apr-16,2:1,21.6,30,9.5,May-16,1:0,1,364.8,56.6,.,.,56.6,15.3185,.,.,15.3185,23.9958,.,.,23.9958,10.6495,.,.,10.6495,2.3311,.,.,2.3311,0.1144,.,.,0.1144,,
22,74,35,1,E,1,Drought,D.7.8,D,7,8,Apr-16,2:1,15.7,16,4.9,May-16,1:0,1,300.4,51.6,.,.,51.6,7.601,.,.,7.601,12.6114,.,.,12.6114,5.005,.,.,5.005,2.1629,.,.,2.1629,0.0641,.,.,0.0641,,
23,59,35,1,G,1,Drought,11.1.3,11,1,3,Apr-16,2:1,42.2,44,8.5,May-16,1:0,1,214.6,60.1,.,.,60.1,7.5298,.,.,7.5298,17.4968,.,.,17.4968,7.9054,.,.,7.9054,1.4621,.,.,1.4621,0.0926,.,.,0.0926,,
24,244,35,2,F,1,Drought,T3.9.12,T3,9,12,Apr-16,2:1,33.4,36,11.1,May-16,1:0,1,226.5,52.3,.,.,52.3,16.7364,.,.,16.7364,21.2485,.,.,21.2485,8.56,.,.,8.56,3.6462,.,.,3.6462,0.1853,.,.,0.1853,,
25,58,35,2,H,1,Drought,G.9.16,G,9,16,Apr-16,2:1,32,24,9,May-16,1:0,1,188.6,58.7,.,.,58.7,21.1438,.,.,21.1438,21.7026,.,.,21.7026,8.5563,.,.,8.5563,4.0006,.,.,4.0006,0.2415,.,.,0.2415,,
26,199,35,3,E,1,Drought,11.6.11,11,6,11,Apr-16,2:1,37.8,46,11,May-16,1:0,1,166,58.2,.,.,58.2,22.478,.,.,22.478,26.6417,.,.,26.6417,11.1226,.,.,11.1226,3.6496,.,.,3.6496,0.238,.,.,0.238,,
27,293,35,3,G,1,Drought,B.3.15,B,3,16,Apr-16,2:1,27.3,24,8.8,May-16,1:0,1,197,56.8,.,.,56.8,12.2001,.,.,12.2001,19.0195,.,.,19.0195,7.9123,.,.,7.9123,2.4899,.,.,2.4899,0.1292,.,.,0.1292,,
28,100,35,4,F,1,Drought,G.3.13,G,3,13,Apr-16,2:1,30.5,54,9.8,May-16,1:0,1,192.7,60.8,.,.,60.8,15.8956,.,.,15.8956,22.9451,.,.,22.9451,9.8249,.,.,9.8249,2.7442,.,.,2.7442,0.1752,.,.,0.1752,,
29,12,35,4,H,1,Drought,T3.7.6,T3,7,6,Apr-16,2:1,37,52,9.9,May-16,1:0,1,149.3,53.1,.,.,53.1,11.5654,.,.,11.5654,19.5298,.,.,19.5298,8.3142,.,.,8.3142,2.4874,.,.,2.4874,0.115,.,.,0.115,,
30,40,35,5,E,1,Drought,B.8.12,B,8,12,Apr-16,2:1,47,26,9.5,May-16,1:0,1,304.3,53.2,.,.,53.2,21.9318,.,.,21.9318,22.5936,.,.,22.5936,8.5857,.,.,8.5857,4.3528,.,.,4.3528,0.2072,.,.,0.2072,,
31,229,35,5,G,1,Drought,G.10.11,G,10,11,Apr-16,2:1,30,28,8.5,May-16,1:0,1,229.4,57.1,.,.,57.1,21.9622,.,.,21.9622,23.0497,.,.,23.0497,9.1886,.,.,9.1886,4.075,.,.,4.075,0.202,.,.,0.202,,
32,20,35,6,F,1,Drought,D.5.5,D,5,5,Apr-16,2:1,22,30,8.9,May-16,1:0,1,235.4,56.7,.,.,56.7,9.6452,.,.,9.6452,20.7367,.,.,20.7367,9.4211,.,.,9.4211,1.6986,.,.,1.6986,0.0791,.,.,0.0791,,
33,62,35,6,H,1,Drought,11.7.13,11,7,13,Apr-16,2:1,42.2,68,12.4,May-16,1:0,1,147.4,60.8,.,.,60.8,11.2928,.,.,11.2928,21.6081,.,.,21.6081,9.1647,.,.,9.1647,2.2044,.,.,2.2044,0.1301,.,.,0.1301,,
34,73,35,7,E,1,Drought,G.7.4,G,7,4,Apr-16,2:1,38,44,10.1,May-16,1:0,1,213.4,58.1,.,.,58.1,20.1838,.,.,20.1838,21.3133,.,.,21.3133,8.123,.,.,8.123,3.8702,.,.,3.8702,0.1994,.,.,0.1994,,
35,77,35,7,G,1,Drought,T3.8.1,T3,8,1,Apr-16,2:1,41.8,36,10,May-16,1:0,1,204.7,53.9,.,.,53.9,22.9994,.,.,22.9994,25.0082,.,.,25.0082,10.2716,.,.,10.2716,3.8037,.,.,3.8037,0.2031,.,.,0.2031,,
36,156,35,8,F,1,Drought,11.9.9,11,9,9,Apr-16,2:1,36.7,28,7.6,May-16,1:0,1,300,64.2,.,.,64.2,15.0798,.,.,15.0798,18.3758,.,.,18.3758,7.2321,.,.,7.2321,3.3399,.,.,3.3399,0.1139,.,.,0.1139,,
37,44,35,8,H,1,Drought,B.7.7,B,7,7,Apr-16,2:1,35.1,38,7.1,May-16,1:0,1,212.7,45.3,.,.,45.3,18.4496,.,.,18.4496,18.6892,.,.,18.6892,6.7794,.,.,6.7794,4.2833,.,.,4.2833,0.189,.,.,0.189,,
38,266,35,9,E,1,Drought,T3.3.3,T3,3,3,Apr-16,2:1,26.2,46,11.5,May-16,1:0,1,257.7,56.2,.,.,56.2,15.8442,.,.,15.8442,26.1255,.,.,26.1255,11.3444,.,.,11.3444,2.1003,.,.,2.1003,0.1269,.,.,0.1269,,
39,3,35,9,G,1,Drought,D.10.4,D,10,4,Apr-16,2:1,30.7,16,8.7,May-16,1:0,1,244,54.2,.,.,54.2,17.495,.,.,17.495,21.1423,.,.,21.1423,8.8412,.,.,8.8412,3.2048,.,.,3.2048,0.1571,.,.,0.1571,,
40,287,35,10,F,1,Drought,B.5.4,B,5,4,Apr-16,2:1,46.1,44,7.5,May-16,1:0,1,102.4,51,.,.,51,17.523,.,.,17.523,20.647,.,.,20.647,8.263,.,.,8.263,3.7606,.,.,3.7606,0.1573,.,.,0.1573,,
41,280,35,10,H,1,Drought,D.6.12,D,6,12,Apr-16,2:1,30.7,44,11.5,May-16,1:0,1,126.3,60.3,.,.,60.3,11.9055,.,.,11.9055,22.4367,.,.,22.4367,9.75,.,.,9.75,2.1104,.,.,2.1104,0.0998,.,.,0.0998,,
42,389,36,11,A,2,Water,D.7.3,D,7,3,Apr-16,2:1,12,30,7.3,May-16,1:0,1,390.7,51.9,.,.,51.9,13.0955,.,.,13.0955,19.2673,.,.,19.2673,8.3077,.,.,8.3077,2.2859,.,.,2.2859,0.1164,.,.,0.1164,,
43,330,36,11,C,2,Water,11.1.2,11,1,2,Apr-16,2:1,38.2,55,10.1,May-16,1:0,1,426.8,58,.,.,58,12.138,.,.,12.138,20.4306,.,.,20.4306,8.8638,.,.,8.8638,2.2775,.,.,2.2775,0.1211,.,.,0.1211,,
44,340,36,12,B,2,Water,T3.9.3,T3,9,3,Apr-16,2:1,8.2,8,3.4,May-16,1:0,1,370.8,48.4,.,.,48.4,10.3103,.,.,10.3103,19.5685,.,.,19.5685,8.4275,.,.,8.4275,2.2203,.,.,2.2203,0.0605,.,.,0.0605,,
45,450,36,12,D,2,Water,G.9.2,G,9,2,Apr-16,2:1,36.8,24,11.3,May-16,1:0,1,387.5,47.3,.,.,47.3,27.2483,.,.,27.2483,24.9947,.,.,24.9947,9.5233,.,.,9.5233,4.722,.,.,4.722,0.286,.,.,0.286,,
46,598,36,13,A,2,Water,11.6.6,11,6,6,Apr-16,2:1,32.2,28,8.5,May-16,1:0,1,419.2,65.5,.,.,65.5,13.8324,.,.,13.8324,20.7314,.,.,20.7314,9.0497,.,.,9.0497,2.4927,.,.,2.4927,0.1687,.,.,0.1687,,
47,395,36,13,C,2,Water,B.3.10,B,3,10,Apr-16,2:1,40.5,32,9,May-16,1:0,1,386.7,54.7,.,.,54.7,16.5897,.,.,16.5897,19.9279,.,.,19.9279,8.1859,.,.,8.1859,3.5628,.,.,3.5628,0.136,.,.,0.136,,
48,507,36,14,B,2,Water,G.3.14,G,3,14,Apr-16,2:1,39.5,24,11,May-16,1:0,1,431.1,55.5,.,.,55.5,21.2719,.,.,21.2719,24.075,.,.,24.075,8.1522,.,.,8.1522,4.4916,.,.,4.4916,0.2511,.,.,0.2511,,
49,463,36,14,D,2,Water,T3.7.8,T3,7,8,Apr-16,2:1,44.2,66,11.1,May-16,1:0,1,373.7,49.9,.,.,49.9,13.0871,.,.,13.0871,22.701,.,.,22.701,10.082,.,.,10.082,2.3592,.,.,2.3592,0.0898,.,.,0.0898,,
50,422,36,15,A,2,Water,B.8.10,B,8,10,Apr-16,2:1,45.4,32,8.2,May-16,1:0,1,453.9,52,.,.,52,29.1868,.,.,29.1868,23.7008,.,.,23.7008,7.8732,.,.,7.8732,5.7946,.,.,5.7946,0.2501,.,.,0.2501,,
51,414,36,15,C,2,Water,G.10.13,G,10,13,Apr-16,2:1,33.9,22,8,May-16,1:0,1,439.2,52.9,.,.,52.9,21.4517,.,.,21.4517,21.8068,.,.,21.8068,8.3178,.,.,8.3178,4.3787,.,.,4.3787,0.1565,.,.,0.1565,,
52,529,36,16,B,2,Water,D.5.12,D,5,12,Apr-16,2:1,21.8,38,7,May-16,1:0,1,321.8,53.9,.,.,53.9,7.9275,.,.,7.9275,15.6143,.,.,15.6143,6.8959,.,.,6.8959,2.0304,.,.,2.0304,0.0504,.,.,0.0504,,"not a good plant, small 24.05.16"
53,364,36,16,D,2,Water,11.7.17,11,7,17,Apr-16,2:1,38.1,20,8.4,May-16,1:0,1,249.4,58.5,.,.,58.5,15.1615,.,.,15.1615,21.4852,.,.,21.4852,8.7692,.,.,8.7692,2.739,.,.,2.739,0.1683,.,.,0.1683,,"not a good plant, small 24.05.16"
