SampleName,SampleID,Latitude,Longitude,Altitude,Notes
U-1,S45001,-36.632668,144.35019,178,
U-2,S45002,-36.632668,144.35019,178,
U-3,S45003,-36.632668,144.35019,178,
U-4,S45004,-36.632668,144.35019,178,
U-5,S45005,-36.632668,144.35019,178,
U-6,S45006,-36.632668,144.35019,178,
U-7,S45007,-36.632668,144.35019,178,
U-8,S45008,-36.632668,144.35019,178,failed—too few loci
U-9,S45009,-36.632668,144.35019,178,failed—too few loci
U-10,S45010,-36.632668,144.35019,178,
P-1,S45011,-35.819633,145.31187,101,failed—too few loci
P-2,S45012,-35.819633,145.31187,101,
P-3,S45013,-35.819633,145.31187,101,
P-4,S45014,-35.819633,145.31187,101,
P-5,S45015,-35.819633,145.31187,101,
P-6,S45016,-35.819633,145.31187,101,
P-7,S45017,-35.819633,145.31187,101,
P-8,S45018,-35.819633,145.31187,101,
P-9,S45019,-35.819633,145.31187,101,
P-10,S45020,-35.819633,145.31187,101,
G-1,S45021,-36.86476,148.85016,638,
G-2,S45022,-36.86476,148.85016,638,
G-3,S45023,-36.86476,148.85016,638,
G-4,S45024,-36.86476,148.85016,638,
G-5,S45025,-36.86476,148.85016,638,
G-6,S45026,-36.86476,148.85016,638,
G-7,S45027,-36.86476,148.85016,638,
G-8,S45028,-36.86476,148.85016,638,
G-9,S45029,-36.86476,148.85016,638,failed—too few loci
G-10,S45030,-36.86476,148.85016,638,
W1-1,S45031,-36.42797,144.41092,114,
W1-2,S45032,-36.42797,144.41092,114,
W1-3,S45033,-36.42797,144.41092,114,
W1-4,S45034,-36.42797,144.41092,114,
W1-5,S45035,-36.42797,144.41092,114,failed—too few loci
W1-6,S45036,-36.42797,144.41092,114,
W1-7,S45037,-36.42797,144.41092,114,
W1-8,S45038,-36.42797,144.41092,114,
W1-9,S45039,-36.42797,144.41092,114,
W1-10,S45040,-36.42797,144.41092,114,failed—too few loci
H-1,S45041,-36.63518,149.56728,186,failed—too few loci
